0	2680	0.503286
1	30	0.005634
2	23	0.004319
3	19	0.003568
4	34	0.006385
5	35	0.006573
6	30	0.005634
7	30	0.005634
8	25	0.004695
9	25	0.004695
10	17	0.003192
11	15	0.002817
12	18	0.003380
13	19	0.003568
14	19	0.003568
15	28	0.005258
16	30	0.005634
17	21	0.003944
18	38	0.007136
19	41	0.007700
20	65	0.012207
21	60	0.011268
22	69	0.012958
23	64	0.012019
24	84	0.015775
25	94	0.017653
26	97	0.018216
27	103	0.019343
28	117	0.021972
29	110	0.020657
30	86	0.016150
31	95	0.017840
32	69	0.012958
33	81	0.015211
34	85	0.015962
35	86	0.016150
36	75	0.014085
37	65	0.012207
38	62	0.011643
39	55	0.010329
40	50	0.009390
41	46	0.008638
42	36	0.006761
43	36	0.006761
44	23	0.004319
45	24	0.004507
46	39	0.007324
47	13	0.002441
48	27	0.005070
49	23	0.004319
50	20	0.003756
51	18	0.003380
52	18	0.003380
53	17	0.003192
54	13	0.002441
55	13	0.002441
56	8	0.001502
57	12	0.002254
58	13	0.002441
59	6	0.001127
60	7	0.001315
61	7	0.001315
62	5	0.000939
63	6	0.001127
64	4	0.000751
65	8	0.001502
66	3	0.000563
67	3	0.000563
68	6	0.001127
69	1	0.000188
71	3	0.000563
72	2	0.000376
73	1	0.000188
74	1	0.000188
75	2	0.000376
76	1	0.000188
77	2	0.000376
78	2	0.000376
83	3	0.000563
85	1	0.000188
88	1	0.000188
96	1	0.000188
99	1	0.000188
