0	24407	0.935493
1	63	0.002415
2	71	0.002721
3	159	0.006094
4	198	0.007589
5	307	0.011767
6	249	0.009544
7	143	0.005481
8	80	0.003066
9	71	0.002721
10	39	0.001495
11	31	0.001188
12	45	0.001725
13	33	0.001265
14	29	0.001112
15	9	0.000345
16	17	0.000652
17	11	0.000422
18	9	0.000345
19	10	0.000383
20	11	0.000422
21	4	0.000153
22	9	0.000345
23	6	0.000230
24	5	0.000192
25	8	0.000307
26	4	0.000153
27	9	0.000345
28	9	0.000345
29	6	0.000230
30	8	0.000307
31	3	0.000115
32	2	0.000077
33	4	0.000153
34	5	0.000192
35	4	0.000153
36	4	0.000153
37	1	0.000038
38	1	0.000038
40	1	0.000038
43	2	0.000077
46	1	0.000038
47	2	0.000077
