0	25892	0.675696
1	3018	0.078760
2	3038	0.079282
3	1884	0.049166
4	1462	0.038153
5	1019	0.026593
6	612	0.015971
7	418	0.010908
8	260	0.006785
9	157	0.004097
10	78	0.002036
11	65	0.001696
12	58	0.001514
13	43	0.001122
14	46	0.001200
15	21	0.000548
16	21	0.000548
17	16	0.000418
18	14	0.000365
19	14	0.000365
20	12	0.000313
21	18	0.000470
22	13	0.000339
23	8	0.000209
24	6	0.000157
25	13	0.000339
26	7	0.000183
27	3	0.000078
28	8	0.000209
29	7	0.000183
30	3	0.000078
31	6	0.000157
32	1	0.000026
33	8	0.000209
34	4	0.000104
35	10	0.000261
36	4	0.000104
37	1	0.000026
38	3	0.000078
39	1	0.000026
41	1	0.000026
42	3	0.000078
43	3	0.000078
44	1	0.000026
45	1	0.000026
46	2	0.000052
49	1	0.000026
50	1	0.000026
51	2	0.000052
53	1	0.000026
54	3	0.000078
57	1	0.000026
59	3	0.000078
60	2	0.000052
61	3	0.000078
62	1	0.000026
63	3	0.000078
64	1	0.000026
65	3	0.000078
66	2	0.000052
67	2	0.000052
68	1	0.000026
69	2	0.000052
70	3	0.000078
77	1	0.000026
