-8	4	0.000229
-7	16	0.000917
-6	8	0.000458
-5	20	0.001146
-4	28	0.001604
-3	4	0.000229
-2	24	0.001375
-1	38	0.002177
0	4239	0.242839
1	1205	0.069031
2	1035	0.059292
3	681	0.039012
4	545	0.031221
5	1294	0.074129
6	1699	0.097330
7	2181	0.124943
8	1052	0.060266
9	530	0.030362
10	563	0.032253
11	332	0.019019
12	410	0.023488
13	436	0.024977
14	845	0.048407
15	69	0.003953
16	27	0.001547
17	31	0.001776
18	1	0.000057
19	2	0.000115
22	3	0.000172
24	1	0.000057
25	2	0.000115
26	1	0.000057
27	1	0.000057
28	2	0.000115
29	2	0.000115
30	6	0.000344
31	7	0.000401
32	13	0.000745
33	1	0.000057
34	4	0.000229
35	12	0.000687
36	3	0.000172
37	10	0.000573
38	5	0.000286
39	3	0.000172
40	2	0.000115
41	4	0.000229
42	3	0.000172
43	5	0.000286
44	2	0.000115
45	2	0.000115
46	2	0.000115
47	11	0.000630
48	3	0.000172
49	8	0.000458
50	6	0.000344
51	6	0.000344
52	2	0.000115
53	1	0.000057
54	2	0.000115
57	2	0.000115
